match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary,numerical_runs,bowler,batsman,preprocessed_commentary
7,SL,2,7.5,1,"M Nabi to Nissanka, 1 run","over the stumps. Good length just outside off. Slaps it to deep point, where Mujeeb is there.",1,M Nabi,Nissanka,"['stump', 'good', 'length', 'outsid', 'slap', 'deep', 'point', 'mujeeb']"
7,SL,2,7.6,1,"M Nabi to Asalanka, 1 run",around the stumps. Good length ball angling into his pads. Smothered off his pads to deep midwicket,1,M Nabi,Asalanka,"['around', 'stump', 'good', 'length', 'ball', 'angl', 'hi', 'pad', 'smother', 'hi', 'pad', 'deep', 'midwicket']"
7,SL,2,8.1,1,"Mujeeb to Asalanka, 1 run",length ball angling into him from around the stumps. Clipped to deep midwicket,1,Mujeeb,Asalanka,"['length', 'ball', 'angl', 'around', 'stump', 'clip', 'deep', 'midwicket']"
7,SL,2,8.2,6,"Mujeeb to Nissanka, SIX runs","that may have gone onto the road! Full ball, a bit flatter, just outside off. Nissanka gets low and creams a slog sweep in front of square. Flies across the night sky.",6,Mujeeb,Nissanka,"['may', 'g', 'onto', 'road', 'full', 'ball', 'bit', 'flatter', 'outsid', 'nissanka', 'get', 'low', 'cream', 'slog', 'sweep', 'front', 'squar', 'fli', 'across', 'night', 'sky']"
7,SL,2,8.3,1,"Mujeeb to Nissanka, 1 run",full outside off. Driven along the ground to wide long off for a single,1,Mujeeb,Nissanka,"['full', 'outsid', 'driven', 'along', 'ground', 'wide', 'long']"
7,SL,2,8.4,1,"Mujeeb to Asalanka, 1 run","good length, on off. Worked behind square off the back foot for a single",1,Mujeeb,Asalanka,"['good', 'length', 'work', 'behind', 'squar', 'back', 'foot']"
7,SL,2,8.5,0,"Mujeeb to Nissanka, no run",fullish outside off. Bit of turn into him. Cut off the back foot to backward point,0,Mujeeb,Nissanka,"['fullish', 'outsid', 'bit', 'turn', 'cut', 'back', 'foot', 'backward', 'point']"
7,SL,2,8.6,W,"Mujeeb to Nissanka, OUT","wicket off the wide ball! Nissanka gets back to cut off this wide ball outside off, but perhaps the extra bounce does the trick. Big edge, but swiftly into Gurbaz's gloves, so credit to him for grabbing onto it. No turn this time, looks like the carrom ball.",0,Mujeeb,Nissanka,"['wicket', 'wide', 'ball', 'nissanka', 'get', 'back', 'cut', 'thi', 'wide', 'ball', 'outsid', 'perhap', 'extra', 'bounc', 'doe', 'trick', 'big', 'edg', 'swiftli', 'turban', 'glove', 'credit', 'grab', 'onto', 'turn', 'thi', 'time', 'look', 'like', 'carrot', 'ball']"
7,SL,2,9.1,1,"M Nabi to Asalanka, 1 run","around the stumps. Full on middle, and pushed to towards midwicket. Nabi gives the ball a chase",1,M Nabi,Asalanka,"['around', 'stump', 'full', 'middl', 'push', 'toward', 'midwicket', 'nab', 'give', 'ball', 'chase']"
7,SL,2,9.2,0,"M Nabi to Gunathilaka, no run",fullish ball on off and skidding into middle and leg. Fended off the back foot to the bowler,0,M Nabi,Gunathilaka,"['fullish', 'ball', 'skid', 'middl', 'leg', 'fend', 'back', 'foot', 'bowler']"
